id,model,color
0,jig,jig
1,avanza,1g3
2,avanza,1g3
3,avanza,3q3
4,avanza,3q3
5,avanza,g64
6,avanza,g64
7,avanza,s28
8,avanza,s28
9,avanza,w09
10,avanza,w09
11,avanza,x12
12,avanza,x12
13,veloz,1g3
14,veloz,1g3
15,veloz,3q3
16,veloz,3q3
17,veloz,p20
18,veloz,p20
19,veloz,s28
20,veloz,s28
21,veloz,x12
22,veloz,x12
23,calya,1g3
24,calya,1g3
25,calya,3q3
26,calya,3q3
27,calya,4t3
28,calya,4t3
29,calya,s28
30,calya,s28
31,calya,w09
32,calya,w09
33,calya,x12
34,calya,x12
35,yaris,6w2
36,yaris,6w2
37,veloz,089
38,veloz,089
39,yaris,040
40,yaris,040
41,d03b,3q3
42,d03b,3q3
43,d03b,3q3
44,d03b,b88
45,d03b,b88
46,d03b,b88
47,d03b,g64
48,d03b,g64
49,d03b,g64
50,d03b,r77
51,d03b,r77
52,d03b,r77
53,d03b,s28
54,d03b,s28
55,d03b,s28
56,d03b,040
57,d03b,040
58,d03b,040
59,d03b,089
60,d03b,089
61,d03b,089
62,d03b,218
63,d03b,218
64,d03b,218
